
Beginning forward sweep...

--------------------------------------------------
|   Iteration   |   k-eff error  |   flux error    |
|      196      |   7.5939e-08   |   6.2331e-06    |
|      197      |   7.3026e-08   |   5.9946e-06    |
|      198      |   7.0225e-08   |   5.7652e-06    |
|      199      |   6.7532e-08   |   5.5445e-06    |
|      200      |   6.4942e-08   |   5.3324e-06    |
|      201      |   6.2452e-08   |   5.1283e-06    |
|      202      |   6.0058e-08   |   4.9320e-06    |
|      203      |   5.7755e-08   |   4.7433e-06    |
|      204      |   5.5541e-08   |   4.5618e-06    |
|      205      |   5.3412e-08   |   4.3872e-06    |
|      206      |   5.1365e-08   |   4.2193e-06    |
|      207      |   4.9396e-08   |   4.0579e-06    |
|      208      |   4.7503e-08   |   3.9026e-06    |
|      209      |   4.5683e-08   |   3.7532e-06    |
|      210      |   4.3932e-08   |   3.6096e-06    |
|      211      |   4.2249e-08   |   3.4715e-06    |
|      212      |   4.0630e-08   |   3.3386e-06    |
|      213      |   3.9074e-08   |   3.2109e-06    |
|      214      |   3.7577e-08   |   3.0880e-06    |
|      215      |   3.6137e-08   |   2.9698e-06    |
|      216      |   3.4753e-08   |   2.8562e-06    |
|      217      |   3.3421e-08   |   2.7469e-06    |
|      218      |   3.2141e-08   |   2.6418e-06    |
|      219      |   3.0910e-08   |   2.5407e-06    |
|      220      |   2.9726e-08   |   2.4434e-06    |
|      221      |   2.8588e-08   |   2.3499e-06    |
|      222      |   2.7493e-08   |   2.2600e-06    |
|      223      |   2.6440e-08   |   2.1735e-06    |
|      224      |   2.5427e-08   |   2.0903e-06    |
|      225      |   2.4454e-08   |   2.0103e-06    |
|      226      |   2.3517e-08   |   1.9334e-06    |
|      227      |   2.2617e-08   |   1.8594e-06    |
|      228      |   2.1751e-08   |   1.7883e-06    |
|      229      |   2.0918e-08   |   1.7198e-06    |
|      230      |   2.0117e-08   |   1.6540e-06    |
|      231      |   1.9347e-08   |   1.5907e-06    |
|      232      |   1.8606e-08   |   1.5299e-06    |
|      233      |   1.7894e-08   |   1.4713e-06    |
|      234      |   1.7209e-08   |   1.4150e-06    |
|      235      |   1.6550e-08   |   1.3609e-06    |
|      236      |   1.5916e-08   |   1.3088e-06    |
|      237      |   1.5307e-08   |   1.2587e-06    |
|      238      |   1.4721e-08   |   1.2105e-06    |
|      239      |   1.4157e-08   |   1.1642e-06    |
|      240      |   1.3615e-08   |   1.1197e-06    |
|      241      |   1.3094e-08   |   1.0768e-06    |
|      242      |   1.2593e-08   |   1.0356e-06    |
|      243      |   1.2111e-08   |   9.9598e-07    |
---------------------------------------------------

Final k-eff: 1.216649

Exporting results... Done.


Beginning forward sweep...

--------------------------------------------------
|   Iteration   |   k-eff error  |   flux error    |
--------------------------------------------------
|        1      |   0.0000e+00   |   7.0912e-01    |
|        2      |   0.0000e+00   |   9.5884e-01    |
|        3      |   0.0000e+00   |   2.1914e-01    |
|        4      |   0.0000e+00   |   6.2323e-02    |
|        5      |   0.0000e+00   |   1.8889e-02    |
|        6      |   0.0000e+00   |   5.8670e-03    |
|        7      |   0.0000e+00   |   1.8439e-03    |
|        8      |   0.0000e+00   |   5.8351e-04    |
|        9      |   0.0000e+00   |   1.8549e-04    |
|       10      |   0.0000e+00   |   5.9159e-05    |
|       11      |   0.0000e+00   |   1.8914e-05    |
|       12      |   0.0000e+00   |   6.0589e-06    |
|       13      |   0.0000e+00   |   1.9438e-06    |
|       14      |   0.0000e+00   |   6.2432e-07    |
---------------------------------------------------

Final k-eff: 1.216649

Exporting results... Done.

